clear 6;monere
monere;erinnern,mahnen,auffordern
dux, ducis m./f.;der / die F#uhrer(in),der Feldherr
respicere, respicio, respexi, respectum;denken an,ber#ucksichtigen
gens, gentis f.;das Volk,das Gleschlecht
fatum, fati n.;das Schicksal
orbis, orbis m.;der (Erd-)Kreis
regere, rego, rexi, rectum;(be)herrschen
cogere, cogo, coegi, coactum;sammeln,zwingen
classis, classis f.;die Flotte
dolor, doloris m.;der Schmerz,die Trauer
cupititas, cupiditatis f.;der Wunsch,das Verlangen
postea;sp#ater,nachher
docere, doceo, docui, doctum;unterrichten,lehren
constituere, constitui, constitutum;beschlie#sen,festsetzten
adire, adeo, adii, aditum;hingehen,herantreten,ansprechen
